(u'prob', 0.6771855828772935)
(u'munchies', 0.7293073851673416)
(u'hooters', 0.7297008030942461)
(u'future', 0.7297484728944341)
(u'omfg', 0.7297852525639119)
(u'ton', 0.7298099818061666)
(u'ummm', 0.7301084244565437)
(u'refuse', 0.7303554197861756)
(u'alcohol', 0.7306877274539442)
(u'grateful', 0.7307307482152107)
(u'shame', 0.7309344445726087)
(u'junk', 0.7312261118996077)
(u'told', 0.731328229301243)
(u'forgot', 0.7313819946312543)
(u'already', 0.731384692651155)
(u'jamaican', 0.7314942174337965)
(u'nigga', 0.7315397229131079)
(u'snapchats', 0.732245961082562)
(u'walk', 0.7322672345794953)
(u'bout', 0.7322904108716505)
(u'guy', 0.7323520369160305)
(u'gots', 0.7324898777703174)
(u'gourmet', 0.7326290545931172)
(u'def', 0.7328339864715108)
(u'correction', 0.7328858521089103)
(u'better', 0.7329109023062397)
(u'atleast', 0.7329963778831566)
(u'stare', 0.7329965241854856)
(u'incredible', 0.7331508833736299)
(u'outrageous', 0.7332040250623816)
(u'hard', 0.7333063710101634)
(u'alright', 0.733535823877906)
(u'given', 0.7335619834392557)
(u'selling', 0.733611153208126)
(u'peasant', 0.7340506341921772)
(u'needa', 0.7341327866921166)
(u'die', 0.734140248622272)
(u'definitely', 0.7345352174090497)
(u'hey', 0.7346619004646119)
(u'leaving', 0.7348849377994359)
(u'won', 0.7350097360045172)
(u'kids', 0.7350147841179544)
(u'asking', 0.7350383484133397)
(u'reindeer', 0.735239875828509)
(u'wasting', 0.735396557105738)
(u'well', 0.735611659563464)
(u'fabulous', 0.735668909301852)
(u'smack', 0.7361396691867617)
(u'eatting', 0.736403513552913)
(u'chew', 0.7365852291490961)
(u'enjoying', 0.7367228775656954)
(u'pray', 0.736857515675727)
(u'call', 0.7370404162299139)
(u'humans', 0.7370760214725475)
(u'finishing', 0.7372895056577526)
(u'ohh', 0.7379008753195399)
(u'quality', 0.7379141655236913)
(u'everytime', 0.7379534563211427)
(u'hmm', 0.7380829509920704)
(u'organic', 0.7381108088561371)
(u'rely', 0.7381923327613679)
(u'disturbing', 0.7383231621632896)
(u'expecting', 0.738373519619721)
(u'move', 0.7383928855364973)
(u'still', 0.738694626889036)
(u'boring', 0.7387212957922212)
(u'sometimes', 0.7387273557939744)
(u'loooove', 0.7388016117780958)
(u'tht', 0.7388530727589023)
(u'aka', 0.739053017476283)
(u'idc', 0.73946440868471)
(u'grab', 0.7395267531947884)
(u'wait', 0.7396172356183459)
(u'ahhhh', 0.7398101790418999)
(u'bringin', 0.7403881074117803)
(u'annoying', 0.7405245304512459)
(u'hmmm', 0.7406742061891316)
(u'costco', 0.740978969345672)
(u'fattening', 0.7409790186438252)
(u'ridiculous', 0.7410088945111765)
(u'goes', 0.7410213757695221)
(u'boys', 0.7411261483373378)
(u'oomf', 0.7413440454269602)
(u'mission', 0.7414025313295366)
(u'smacking', 0.7415979498112597)
(u'wow', 0.7417205045488231)
(u'allow', 0.741757493854932)
(u'western', 0.7417630535309164)
(u'try', 0.7419182910450983)
(u'says', 0.7419806019578886)
(u'diet', 0.7419891246304858)
(u'rft', 0.7420640317137844)
(u'word', 0.742239669271917)
(u'really', 0.7422553949186667)
(u'feeding', 0.7424648483065285)
(u'consist', 0.7426708650772765)
(u'bands', 0.7426793711981302)
(u'wcw', 0.7426919859318485)
(u'sneak', 0.742759449826672)
(u'fab', 0.7427677439951652)
(u'kitchen', 0.7428073187224653)
(u'interesting', 0.742914147405622)
(u'thanks', 0.742919060106852)
(u'loved', 0.7430390844064352)
(u'apparently', 0.7433315560057142)
(u'whether', 0.7439240485979101)
(u'excellent', 0.7441715085146544)
(u'referring', 0.7443375133112801)
(u'canteen', 0.7444937066272376)
(u'ths', 0.7445207715979792)
(u'ethnic', 0.7445725735287032)
(u'turkish', 0.7447245765371344)
(u'foreign', 0.7447956093501306)
(u'noooooo', 0.7450974796372619)
(u'mind', 0.7454265721080325)
(u'popular', 0.7455711518300092)
(u'niall', 0.7459478671288686)
(u'walmart', 0.7459543201916091)
(u'serving', 0.7463043486009071)
(u'mine', 0.7467057632261184)
(u'household', 0.7469229325827501)
(u'biggest', 0.7469621886217755)
(u'idk', 0.7470579001630218)
(u'roommate', 0.7472151914992572)
(u'freaking', 0.7473461475378275)
(u'reminds', 0.7473490521231446)
(u'spent', 0.7474951232674346)
(u'fun', 0.7474980060322948)
(u'especially', 0.7474998297470898)
(u'liking', 0.7476304138033456)
(u'nooo', 0.748303313382949)
(u'woah', 0.7483822446711751)
(u'agree', 0.7483878870026275)
(u'dawg', 0.7485155365767338)
(u'one', 0.7486754472227093)
(u'jus', 0.7486897607490393)
(u'devils', 0.748758269644663)
(u'wtf', 0.7490418238596753)
(u'gone', 0.7490429988230423)
(u'overpriced', 0.7491105715094923)
(u'open', 0.7491305983668467)
(u'providing', 0.7491370056132877)
(u'tweeting', 0.7492206324899011)
(u'moms', 0.7492352028151765)
(u'yooo', 0.7493359662048136)
(u'tear', 0.7495366741708875)
(u'come', 0.7495929916665102)
(u'yep', 0.7496288215455068)
(u'eww', 0.7497147546356246)
(u'best', 0.7500914914587367)
(u'true', 0.7505932160538635)
(u'hated', 0.7506467521868165)
(u'running', 0.7509031665743569)
(u'rabbit', 0.7509789848404944)
(u'terrible', 0.7509951960982976)
(u'handle', 0.7512670579353544)
