(u'deny', 0.527148729649796)
(u'spices', 0.5454989300640397)
(u'study', 0.602567772171998)
(u'valley', 0.6042689186776075)
(u'stock', 0.6057989932624246)
(u'vote', 0.6252578320525096)
(u'arrived', 0.6253402393915992)
(u'sandy', 0.6253770868446707)
(u'cheer', 0.6255883319454518)
(u'fda', 0.6257285851709778)
(u'debate', 0.6260061957083788)
(u'military', 0.6263135340313064)
(u'specific', 0.6263372239934799)
(u'trolley', 0.6268142485540605)
(u'shoppers', 0.6270960259145657)
(u'heart', 0.6273887137300685)
(u'vegan', 0.6283629638805768)
(u'won', 0.6285360434115181)
(u'microwave', 0.62868333905137)
(u'chinatown', 0.6287798541988936)
(u'canada', 0.6294084442767476)
(u'location', 0.6296173800698804)
(u'likes', 0.6298069402526083)
(u'pairings', 0.6298503472452667)
(u'tour', 0.6301958784204391)
(u'asking', 0.6303421719403005)
(u'emojis', 0.6304323708864722)
(u'share', 0.6308915530476449)
(u'naps', 0.6311746574844049)
(u'volunteers', 0.6312771247501356)
(u'priced', 0.6313236815101931)
(u'venue', 0.6316073693132446)
(u'insects', 0.6320129566186196)
(u'runner', 0.6320694402285435)
(u'tumblr', 0.6322783808051874)
(u'warmth', 0.6323231501333003)
(u'recommendations', 0.6323518406947718)
(u'transport', 0.6324838393810166)
(u'movement', 0.6325416619247677)
(u'sleep', 0.6327772326294653)
(u'pix', 0.6332202661046394)
(u'bloomberg', 0.6340741590747878)
(u'fetish', 0.6341521453505518)
(u'soul', 0.6343545990969417)
(u'dorm', 0.6343753366254947)
(u'create', 0.6343967445843756)
(u'halifax', 0.6345703807539315)
(u'urban', 0.6345874111169256)
(u'sink', 0.6352602021044165)
(u'fantastic', 0.6352892829551605)
(u'donations', 0.6353151195559071)
(u'brazil', 0.6358748741600625)
(u'people', 0.6359069081295602)
(u'cost', 0.6361310382232468)
(u'corp', 0.636527897314293)
(u'canteen', 0.6365651813969447)
(u'explore', 0.6365973383300235)
(u'austin', 0.6368304201397293)
(u'comment', 0.636981346918297)
(u'lion', 0.6369939031656296)
(u'necessary', 0.6370214737772191)
(u'philosophy', 0.6370785789951598)
(u'images', 0.6370972941157526)
(u'soil', 0.6372327193222747)
(u'crib', 0.6373472943707381)
(u'labeling', 0.6375022785634501)
(u'alcohol', 0.6376420984357238)
(u'masterchef', 0.6377861640607989)
(u'homeless', 0.6377875381505725)
(u'approved', 0.6380163692260783)
(u'snacks', 0.6385270404384887)
(u'server', 0.6385840059924652)
(u'stand', 0.6386449441253688)
(u'recovery', 0.6389178355961638)
(u'great', 0.6390326104354657)
(u'disgusting', 0.63905751123487)
(u'rant', 0.6392929467746598)
(u'always', 0.6393896976086798)
(u'shortage', 0.6395032647926125)
(u'wine', 0.6395078301054249)
(u'report', 0.6396290401077961)
(u'truth', 0.6397917629039085)
(u'holiday', 0.639882235649038)
(u'appetite', 0.6401207616220213)
(u'punishment', 0.6404921519242887)
(u'customers', 0.640538348703312)
(u'spain', 0.6405567466447689)
(u'catering', 0.640637799264229)
(u'chefs', 0.640677426675613)
(u'map', 0.6408162491490673)
(u'walmart', 0.640868315541171)
(u'dangerous', 0.6409430860835822)
(u'plate', 0.6409761402761914)
(u'munchies', 0.6409781579999008)
(u'offers', 0.6412444512842871)
(u'mind', 0.6416321552252919)
(u'puns', 0.6420309830513923)
(u'wages', 0.6421117852090421)
(u'inspired', 0.6421230027185663)
(u'sales', 0.6421862212501713)
(u'mobile', 0.6422886163685113)
(u'workers', 0.6426852901432061)
(u'training', 0.6427186679756489)
(u'challenge', 0.6427599008702755)
(u'egypt', 0.642792099181715)
(u'continues', 0.6430190055509242)
(u'recently', 0.6432512873489865)
(u'cheap', 0.6433476424249629)
(u'price', 0.6434876039630819)
(u'check', 0.643534615873095)
(u'register', 0.6436844451598349)
(u'products', 0.6437655761448445)
(u'atmosphere', 0.6442577524096761)
(u'creations', 0.6442763332871649)
(u'help', 0.644423983207732)
(u'giants', 0.6445729036374073)
(u'tray', 0.6445899322684185)
(u'destination', 0.6446044427763311)
(u'isn', 0.6448108434660385)
(u'expand', 0.6448418089308167)
(u'online', 0.6449655444615926)
(u'friends', 0.6450015595152135)
(u'desire', 0.645035507771338)
(u'yummy', 0.6450633529654579)
(u'coupons', 0.6453392913367295)
(u'singapore', 0.6456281715933987)
(u'aka', 0.6456829894078434)
(u'fatgirlprobz', 0.6457372124699786)
(u'equipment', 0.6458102587541802)
(u'affect', 0.6458794707134328)
(u'global', 0.6460594674721803)
(u'talks', 0.6461870511610662)
(u'business', 0.6463435029450757)
(u'good', 0.6463488245790531)
(u'poisoned', 0.6463899591877222)
(u'orlando', 0.6466380673819335)
(u'knowledge', 0.64665654828923)
(u'label', 0.6466633453986717)
(u'interest', 0.6466964417064691)
(u'torture', 0.6468911081434714)
(u'childhood', 0.6469809497979503)
(u'blog', 0.6472667120397211)
(u'language', 0.6473342376552804)
(u'street', 0.6474108240392856)
(u'weekly', 0.6475177144307744)
(u'grow', 0.6476379679978741)
(u'internet', 0.6482264496077569)
(u'major', 0.6484058924396814)
(u'problem', 0.6488660127283822)
(u'hookah', 0.6489292574576907)
(u'italy', 0.6489842675682007)
(u'gaza', 0.6494325804440467)
