(u'adoption', 0.4826268861191758)
(u'engineering', 0.6387400559426166)
(u'lists', 0.642025489623204)
(u'conscience', 0.6433174269183312)
(u'terrible', 0.6441793864310338)
(u'talks', 0.6460913195331653)
(u'sandy', 0.6468553640210771)
(u'tummy', 0.6476423188429503)
(u'requirements', 0.6479974408543637)
(u'recipes', 0.6498028540940669)
(u'culinary', 0.6512711077895992)
(u'affordable', 0.6516113054462472)
(u'tease', 0.6516478410070802)
(u'wines', 0.6517800766025906)
(u'sleep', 0.6518448773217032)
(u'govt', 0.6518658132411459)
(u'refugees', 0.6518873723845516)
(u'atmosphere', 0.6519151117765228)
(u'recall', 0.6519782014541535)
(u'focus', 0.6522372882075679)
(u'inspiring', 0.6522490242438205)
(u'vulnerable', 0.6522580849524576)
(u'online', 0.6523145313540806)
(u'innovation', 0.6523218255698517)
(u'ingredients', 0.6524526548661086)
(u'discovery', 0.6525766953869019)
(u'friends', 0.6526881353767345)
(u'great', 0.6528019381822827)
(u'demos', 0.6528128702478042)
(u'businesses', 0.6529759273083291)
(u'sales', 0.6531773854580426)
(u'stand', 0.6532057333471858)
(u'homeless', 0.6532241903221401)
(u'poisoning', 0.6535528048338382)
(u'training', 0.6535696608536605)
(u'toronto', 0.6538078467862897)
(u'killing', 0.6538902363914403)
(u'cycle', 0.6538959799721776)
(u'compare', 0.6539138855668443)
(u'pesticides', 0.6539222652803585)
(u'connect', 0.6539238851696608)
(u'sink', 0.6539280541683956)
(u'welfare', 0.6540143389746903)
(u'liq', 0.6540538247435851)
(u'labeling', 0.6540727357285323)
(u'decline', 0.6542784964414302)
(u'find', 0.654331916174139)
(u'kitties', 0.6543990836195842)
(u'rides', 0.6547400405845818)
(u'wages', 0.6547778296407973)
(u'fights', 0.6550538214317589)
(u'month', 0.6551369430889986)
(u'workshop', 0.6552939779410928)
(u'medicines', 0.655392506605627)
(u'fatkid', 0.6556598489964489)
(u'falls', 0.6557555422771522)
(u'park', 0.6557868313657523)
(u'orgy', 0.6558145692916422)
(u'wine', 0.6558306228891734)
(u'sight', 0.6558815921874073)
(u'crime', 0.6558861809682587)
(u'practices', 0.6560381303060587)
(u'arrived', 0.6562078269175433)
(u'asking', 0.6563112782669256)
(u'banquet', 0.6563421913512714)
(u'supplement', 0.6563600912693232)
(u'horrifying', 0.6564943056727509)
(u'punishment', 0.6565706773678973)
(u'american', 0.6567127053780026)
(u'insects', 0.656841540243615)
(u'friendly', 0.6569637309747489)
(u'inspection', 0.656989623989)
(u'scientist', 0.6570225785213751)
(u'farming', 0.6572265587083717)
(u'austin', 0.6573521376343137)
(u'foodies', 0.6575186990400391)
(u'history', 0.6575309070229407)
(u'storyofmylife', 0.6575536492855472)
(u'efforts', 0.657927483593057)
(u'boredom', 0.6581115574996984)
(u'agricultural', 0.6583662437747463)
(u'faith', 0.6585459423014096)
(u'ridiculous', 0.65867602887375)
(u'offerings', 0.6586934223050546)
(u'search', 0.6588431169656351)
(u'warehouse', 0.6589410589789488)
(u'blessing', 0.6589567835476168)
(u'class', 0.6597358548022032)
(u'philippines', 0.6598256664793882)
(u'labeled', 0.66004779224749)
(u'weddings', 0.6602747538705808)
(u'trays', 0.6604482906701112)
(u'funding', 0.6605295003873264)
(u'summit', 0.6606538043217337)
(u'dorm', 0.6607009578054103)
(u'bland', 0.6607354780005907)
(u'kids', 0.6607954705845119)
(u'aisle', 0.6608963109591227)
(u'company', 0.6611712719175845)
(u'destination', 0.6611915249675056)
(u'inspector', 0.6611953445934222)
(u'live', 0.6612859070813968)
(u'isn', 0.6613115661248883)
(u'charities', 0.6613864919058714)
(u'listed', 0.6616168465682956)
(u'singapore', 0.6618424563591897)
(u'colouring', 0.6619295159032652)
(u'help', 0.6619931247423518)
(u'fusion', 0.6623563651140169)
(u'movement', 0.6624538635229328)
(u'yummy', 0.6625855928422147)
(u'giants', 0.6626820515829284)
(u'requires', 0.6627392474350803)
(u'local', 0.6627452964819479)
(u'fantastic', 0.6627708453484159)
(u'crafts', 0.6627856891362391)
(u'puns', 0.6628083613224118)
(u'soil', 0.6629296681761866)
(u'nyc', 0.6629627349648264)
(u'presentation', 0.6631385289269307)
(u'servers', 0.6634393998733807)
(u'clothes', 0.6637757703606074)
(u'calories', 0.6638264668358799)
(u'debate', 0.664023865954677)
(u'secure', 0.6640253119499722)
(u'trolley', 0.6641056928916685)
(u'magazine', 0.664274875052528)
(u'space', 0.6642922279727073)
(u'warmth', 0.6644266693760762)
(u'munchies', 0.6646212755213229)
(u'booth', 0.6646705527998527)
(u'safer', 0.6646977792494972)
(u'joint', 0.6647641980479039)
(u'foooood', 0.6648624522710338)
(u'affected', 0.6649178733354087)
(u'government', 0.6650436028171313)
(u'cocktails', 0.6655551668765751)
(u'masterchef', 0.6656236089750961)
(u'military', 0.6656625196344207)
(u'organization', 0.6659059346998231)
(u'menus', 0.6661093320147689)
(u'stamp', 0.6663230511798145)
(u'item', 0.6664592729601334)
(u'nola', 0.6666347049591059)
(u'syria', 0.6666896429219832)
(u'recently', 0.6666904511673803)
(u'management', 0.6667863253682336)
(u'exceptional', 0.6668279336665365)
(u'rural', 0.6670070222583245)
(u'cities', 0.6672187520108873)
(u'binge', 0.6673195354460326)
(u'myths', 0.6673768788539839)
(u'consumers', 0.6676579147795277)
(u'russian', 0.6682082337163621)
(u'good', 0.6685494427323149)
(u'electricity', 0.6689220741713998)
(u'mexico', 0.6689651940359402)
(u'building', 0.6690526698654214)
(u'donate', 0.669275675297838)
(u'consumer', 0.6692848202137058)
(u'workers', 0.6698636143528374)
(u'comforting', 0.6699093638207704)
(u'coupons', 0.670217682706434)
(u'weekly', 0.6703927445105989)
(u'equipment', 0.6707612778919434)
(u'list', 0.6708346482842086)
(u'vouchers', 0.6709744235825621)
(u'views', 0.6710809291666401)
(u'entrepreneurs', 0.6716891418650673)
(u'benefit', 0.6718954551800737)
(u'diet', 0.6720268044437162)
(u'possible', 0.6721099397044241)
(u'channels', 0.672196170445348)
(u'ofcourse', 0.67258380301785)
(u'coloring', 0.672713764254616)
(u'order', 0.6727845738463875)
(u'seeks', 0.6729321970848486)
(u'cultural', 0.6729596822234092)
(u'event', 0.6733687775598663)
(u'explore', 0.673512846217532)
(u'shocker', 0.6735483721349885)
(u'necessities', 0.6735535748971263)
(u'outstanding', 0.6736476808968948)
(u'republic', 0.6739357058736708)
(u'manager', 0.6743269052275138)
(u'grow', 0.6743597782271739)
(u'point', 0.674473673989156)
(u'fatgirlprobz', 0.6747205460242683)
(u'packaging', 0.6747934900608713)
(u'struggles', 0.6750662636531041)
(u'runner', 0.6750793700244474)
(u'diversity', 0.6750846648038125)
(u'mostly', 0.6757071766948363)
(u'included', 0.675755134848526)
(u'network', 0.6761205740252785)
(u'stamps', 0.6763329091617394)
(u'fireworks', 0.6764151551017377)
(u'architecture', 0.6770736315636584)
(u'malaysia', 0.677125438759238)
(u'dishes', 0.677855291341149)
(u'coma', 0.6778783982779898)
(u'walmart', 0.6779466989905713)
(u'tastier', 0.6782848604645987)
(u'edible', 0.6783613138813106)
(u'trucks', 0.6784878657995708)
(u'chinatown', 0.6785155876828891)
(u'changes', 0.6786680916854192)
(u'bazaar', 0.6787864996624524)
(u'morocco', 0.6788254540097982)
(u'picks', 0.678914026969692)
(u'suppliers', 0.6790305632720344)
(u'impact', 0.6792832357088038)
(u'dangerous', 0.6795449681486411)
(u'joints', 0.6796295332675211)
(u'product', 0.6796399861072313)
(u'problem', 0.6798066277176884)
(u'chef', 0.6803370699345949)
(u'foo', 0.6805497222019975)
(u'fridge', 0.6808249385782045)
(u'prepared', 0.6809113552790672)
(u'cupboard', 0.6810089404931869)
(u'tray', 0.6812590710635796)
(u'duh', 0.681277422133363)
(u'sources', 0.6818600115352633)
(u'bev', 0.6821239671812064)
(u'chefs', 0.6825805682493591)
(u'demand', 0.6825827126826326)
(u'tips', 0.6826142179027052)
(u'introduction', 0.683006395252387)
(u'etc', 0.6830068918567248)
(u'projects', 0.6830074732642164)
(u'canteen', 0.6830782885736617)
(u'carnival', 0.6835067026305688)
(u'vendor', 0.6835273178515097)
(u'festival', 0.6835508192397277)
(u'society', 0.683891183106382)
(u'life', 0.6839708667831296)
(u'amp', 0.6842279584400605)
(u'specialist', 0.6846349477333197)
(u'customers', 0.6846683552412148)
(u'despite', 0.6846852087140117)
(u'hygiene', 0.6852535322706371)
(u'shelters', 0.6856239933175112)
(u'safe', 0.685881141838964)
(u'regulation', 0.6859105331886631)
(u'staff', 0.6862124113644295)
(u'priority', 0.6863253971741089)
(u'foodie', 0.6863494942093037)
(u'india', 0.6865494866457473)
(u'cost', 0.6866392526468469)
(u'hospitals', 0.6866937637103575)
(u'airport', 0.6867090119774062)
(u'markets', 0.6868221464300563)
(u'mumbai', 0.6870721587957257)
(u'condiments', 0.6873251995808433)
(u'paradise', 0.6873439345432438)
(u'critic', 0.6875568320969078)
(u'stomach', 0.6876621528142498)
(u'everywhere', 0.6882020871886775)
(u'rations', 0.6884277958399514)
(u'cats', 0.688581352664858)
(u'festivals', 0.6887380218222336)
(u'shopping', 0.6890764500723082)
(u'gmos', 0.6893185557750058)
(u'containers', 0.6894273081052192)
(u'touching', 0.6897690734834876)
(u'refrigerator', 0.689808903868908)
(u'amazing', 0.6901832724146423)
(u'needy', 0.6903471326279473)
(u'allergy', 0.6907998037998642)
(u'especially', 0.6909364695516754)
(u'tasty', 0.6910836869756317)
(u'foodbank', 0.6912768009423849)
(u'world', 0.6913552792466985)
(u'ads', 0.6916671006799859)
(u'feed', 0.6918306203368042)
(u'expenses', 0.6923793848900484)
(u'journal', 0.6924514618155038)
(u'crib', 0.6925408830037024)
(u'tempting', 0.6926277494841084)
(u'happythanksgiving', 0.6930776015123072)
(u'numbers', 0.6938065009686805)
(u'project', 0.693962914751961)
(u'trend', 0.6943211038339844)
(u'mouth', 0.6944812814488375)
(u'frenzy', 0.6945579652773971)
(u'tours', 0.694585905538928)
(u'kitchens', 0.6946562659310515)
(u'future', 0.6947889331336484)
(u'options', 0.6948381227491658)
(u'plate', 0.6950289822204657)
(u'corporate', 0.695180555273307)
(u'foood', 0.6951989625863791)
(u'torture', 0.695216558087087)
(u'parcel', 0.6953136515184188)
(u'insecure', 0.6964170462904122)
(u'area', 0.6966195364305399)
(u'dehydrator', 0.6968540061190855)
