(u'adoption', 0.3761829300366936)
(u'choking', 0.7442497935251866)
(u'folks', 0.7442516837308034)
(u'kids', 0.7445364334569203)
(u'best', 0.7445547910956758)
(u'uhm', 0.7446335295521579)
(u'actual', 0.7448929093692888)
(u'pay', 0.7449006011304101)
(u'stocked', 0.7451483850537169)
(u'mood', 0.7452848865182377)
(u'nigga', 0.7453820885756804)
(u'grab', 0.74545104649392)
(u'fyi', 0.745470343251807)
(u'creating', 0.7455561940716113)
(u'mine', 0.7460218759342526)
(u'yess', 0.74609999052508)
(u'yall', 0.7462351854080029)
(u'indulging', 0.7463377855689015)
(u'desire', 0.7463903649058907)
(u'try', 0.746512269187128)
(u'cats', 0.746580082423192)
(u'buyin', 0.7468041973261824)
(u'true', 0.747057296433716)
(u'puttin', 0.7470586045934249)
(u'delicious', 0.7472069316796685)
(u'2012taughtme', 0.7474914145518878)
(u'hospital', 0.7476529168605726)
(u'payed', 0.7478242561408804)
(u'uhh', 0.7478303718309198)
(u'smash', 0.7483163714368707)
(u'one', 0.7485337973302608)
(u'still', 0.7487537388644472)
(u'grateful', 0.7491518260179246)
(u'liking', 0.7492696244682935)
(u'shouldn', 0.7493155366825249)
(u'devoted', 0.7494090224806095)
(u'girlsloveitwhen', 0.7494113843045569)
(u'carnival', 0.7498474360761406)
(u'roommates', 0.7499152852778225)
(u'prepare', 0.7499170028547828)
(u'sainsburys', 0.749917373258698)
(u'woah', 0.7502525015155244)
(u'eff', 0.7502709684854304)
(u'better', 0.750439237145078)
(u'excellent', 0.7505694784330345)
(u'govt', 0.7505830731718233)
(u'brilliant', 0.7506113902031515)
(u'supplying', 0.7506412524449411)
(u'10thingsilove', 0.7508514337748508)
(u'ashley', 0.7508609674707005)
(u'consist', 0.750893649005821)
(u'enjoying', 0.7510409744470089)
(u'come', 0.7511112528242807)
(u'dealing', 0.7511470256699467)
(u'plate', 0.7516610592867796)
(u'thinking', 0.7518039007400995)
(u'blah', 0.7520381655313012)
(u'horrible', 0.7523938527670111)
(u'wait', 0.7523980611192196)
(u'ughhh', 0.752594959823996)
(u'grabbing', 0.752648236852916)
(u'humans', 0.7527188714460218)
(u'mind', 0.7527819751077376)
(u'taking', 0.7529721454986047)
(u'wanting', 0.7530205520948711)
(u'says', 0.7531178907860477)
(u'begs', 0.753170373679431)
(u'singlebecause', 0.7534304368275758)
(u'bad', 0.7535188658624111)
(u'wow', 0.753571442570167)
(u'tht', 0.7535725317828179)
(u'girl', 0.7537518475784767)
(u'life', 0.7538470482310133)
(u'selling', 0.7539149461029241)
(u'cookouts', 0.7540056099727618)
(u'pays', 0.7540202901038331)
(u'atleast', 0.7540989471344565)
(u'meh', 0.7541263807057277)
(u'hmm', 0.7542770325285141)
(u'ppl', 0.754513597491628)
(u'urgh', 0.7545509527809461)
(u'oomf', 0.7545517734462958)
(u'call', 0.7547258343362505)
(u'4wordsaftersex', 0.7550280443709281)
(u'smack', 0.7550293167318194)
(u'expecting', 0.7550604899571259)
(u'noo', 0.7552367648509396)
(u'honest', 0.7555922657185565)
(u'search', 0.755949998466256)
(u'annoying', 0.7561245680096673)
(u'ethnic', 0.75617322654043)
(u'goddamn', 0.7561969611761337)
(u'canned', 0.7562449927960196)
