(u'adoption', 0.39051547893290023)
(u'create', 0.5201342583416715)
(u'purchased', 0.5201357684411665)
(u'hahah', 0.5201581130452139)
(u'lolol', 0.5203082989661406)
(u'preferably', 0.5203940755207871)
(u'customers', 0.5204108536616351)
(u'business', 0.520413677183886)
(u'dorm', 0.5205161881618712)
(u'liq', 0.5206102897346129)
(u'earth', 0.5206260593946517)
(u'excites', 0.5206272215460526)
(u'foodcoma', 0.520782808045695)
(u'evil', 0.520938476815649)
(u'equipment', 0.5209594328683478)
(u'boner', 0.5210400020423853)
(u'lifeisgood', 0.5210499328715831)
(u'coma', 0.521072012251615)
(u'yummm', 0.5211613802877294)
(u'mmmmm', 0.521197895288966)
(u'journal', 0.5212916783541793)
(u'movement', 0.5212956487024807)
(u'bev', 0.5214906777180619)
(u'organic', 0.5216247206083353)
(u'riots', 0.5216276988437754)
(u'yay', 0.5216494365836181)
(u'amen', 0.5217430649256913)
(u'magazines', 0.5217538334945585)
(u'court', 0.5218905981719085)
(u'try', 0.5219913237488353)
(u'walmart', 0.522017440338232)
(u'spirit', 0.5220520837087959)
(u'competitions', 0.5220705571528694)
(u'runner', 0.5221934474567025)
(u'blankets', 0.5223493975580652)
(u'ugh', 0.5224492922772552)
(u'loll', 0.5226025864051882)
(u'heat', 0.5228313802367305)
(u'american', 0.5228390589959112)
(u'sampling', 0.5228830070895092)
(u'mind', 0.5229255888133107)
(u'tlc', 0.522928186362846)
(u'retreat', 0.5230394593426636)
(u'lovefood', 0.5230540802920108)
(u'ban', 0.5230771867808351)
(u'product', 0.5231145355927184)
(u'plz', 0.5231479466931929)
(u'festive', 0.5232161241042698)
(u'live', 0.5232971825154719)
(u'woooooo', 0.5233238931316903)
(u'chi', 0.5233419620952287)
(u'changes', 0.52339743695235)
(u'boom', 0.5235242039310071)
(u'mmmm', 0.523542148776816)
(u'igetthatalot', 0.5235434995142616)
(u'tummy', 0.5236120632399351)
(u'sohungry', 0.5236629059903991)
(u'royal', 0.5236680051906155)
(u'option', 0.5237016105502297)
(u'shame', 0.5237766319986824)
(u'joints', 0.523798661601791)
(u'struggles', 0.5239546514024671)
(u'dishes', 0.523999441814178)
(u'refrigerator', 0.5240008879806389)
(u'extreme', 0.5240110624160215)
(u'loo', 0.5240512884591003)
(u'must', 0.5240516718216598)
(u'smiles', 0.5240531646611276)
(u'rations', 0.5240925489530418)
(u'health', 0.5241492579696136)
(u'building', 0.524165098582901)
(u'puns', 0.5241789505013129)
(u'focus', 0.5242509020038739)
(u'instead', 0.524517208235815)
(u'brilliant', 0.5245461631216817)
(u'smh', 0.5245889487247799)
(u'impact', 0.5246902419022783)
(u'brands', 0.5248492273999651)
(u'importantly', 0.5249786932307955)
(u'fire', 0.5251329925219516)
(u'diet', 0.5251622915300848)
(u'morocco', 0.5252113370212418)
(u'twins', 0.5252347436499522)
(u'guru', 0.525305741924862)
(u'ads', 0.5253774994350836)
(u'love', 0.525434856700525)
(u'space', 0.5255306395232565)
(u'decline', 0.5255407527333977)
(u'corporate', 0.5255666150411648)
(u'shocker', 0.5255816444970188)
(u'find', 0.5256367524292423)
(u'sucks', 0.5256885068020056)
(u'reach', 0.5256890491117275)
(u'chains', 0.5256919375087342)
(u'explore', 0.5258109664207526)
(u'feeding', 0.5258477470246993)
(u'exceptional', 0.5258683285216614)
(u'anyway', 0.5258685140373479)
(u'cheap', 0.5258785408290756)
(u'coupons', 0.5258937958016999)
(u'critics', 0.52624994641629)
(u'please', 0.5264069815956991)
(u'gross', 0.5264147869180515)
(u'order', 0.5264434144290275)
(u'views', 0.526646789185609)
(u'aha', 0.5266599924893354)
(u'flask', 0.5267473549114039)
(u'banks', 0.5268812134153282)
(u'votes', 0.5271953057714036)
(u'chain', 0.5272937250588267)
(u'deck', 0.5273487657450736)
(u'exciting', 0.5274506345289712)
(u'weekend', 0.5274577805323496)
(u'right', 0.5274918009148905)
(u'feedme', 0.527503199486418)
(u'cocktails', 0.5275743438140624)
(u'congress', 0.5275835402890754)
(u'aisle', 0.52758822108104)
(u'fusion', 0.5276780106994642)
(u'desire', 0.5277569466121338)
(u'sleep', 0.5277692796773887)
(u'connect', 0.5278386095492622)
(u'retailers', 0.5279665728376536)
(u'parcels', 0.5280392160867089)
(u'resources', 0.5282599549739253)
(u'outstanding', 0.5282988509834773)
(u'onto', 0.5284368086200909)
(u'stand', 0.5285005550825456)
(u'move', 0.5285085909769149)
(u'item', 0.5285324832184051)
(u'mainly', 0.5286496946901548)
(u'frenzy', 0.5287398200121923)
(u'cost', 0.5287508479671387)
(u'loved', 0.5287910587596215)
(u'containers', 0.5289617240298953)
(u'lover', 0.5290734043286099)
(u'none', 0.5294653040066465)
(u'war', 0.5294760225698716)
(u'offer', 0.5295110868180386)
(u'clothing', 0.5296281901839985)
(u'processor', 0.5296447171100396)
(u'shelter', 0.5297007633989105)
(u'beyond', 0.5297692094237257)
(u'necessary', 0.5298477065835033)
(u'trolley', 0.5299199068094701)
(u'expo', 0.5299248723592042)
